fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_title_ids
decade_1890s,decade,1890s,primary_genre_Comedy,primary_genre,Comedy,2,"tt0215342,tt0242561"
decade_1890s,decade,1890s,primary_genre_Documentary,primary_genre,Documentary,19,"tt0000240,tt0218450,tt0227422,tt0243911,tt0244007,tt0345700,tt0815451,tt1029400,tt1735457,tt1741537,tt2178965,tt2182033,tt2184182,tt2185678,tt2188845,tt2207607,tt2273469,tt2332010,tt2349777"
decade_1890s,decade,1890s,primary_genre_News,primary_genre,News,1,tt0217826
decade_1890s,decade,1890s,primary_genre_Short,primary_genre,Short,7,"tt0215343,tt0215513,tt0223045,tt0317652,tt0325023,tt2152922,tt6971844"
decade_1890s,decade,1890s,title_type_short,title_type,short,29,"tt0000240,tt0215342,tt0215343,tt0215513,tt0217826,tt0218450,tt0223045,tt0227422,tt0242561,tt0243911,tt0244007,tt0317652,tt0325023,tt0345700,tt0815451,tt1029400,tt1735457,tt1741537,tt2152922,tt2178965,tt2182033,tt2184182,tt2185678,tt2188845,tt2207607,tt2273469,tt2332010,tt2349777,tt6971844"
decade_1900s,decade,1900s,primary_genre_Action,primary_genre,Action,1,tt0335124
decade_1900s,decade,1900s,primary_genre_Animation,primary_genre,Animation,1,tt0000658
decade_1900s,decade,1900s,primary_genre_Comedy,primary_genre,Comedy,25,"tt0211899,tt0212286,tt0212611,tt0233594,tt0234139,tt0234486,tt0235318,tt0248569,tt0325393,tt0348638,tt0423102,tt1261815,tt1267275,tt1679526,tt1753473,tt1774391,tt2044053,tt2983506,tt3286592,tt3317512,tt3352524,tt3441468,tt4144262,tt4146984,tt4311944"
decade_1900s,decade,1900s,primary_genre_Documentary,primary_genre,Documentary,45,"tt0231662,tt0348634,tt0360668,tt0367050,tt0367648,tt0384954,tt0386786,tt0431260,tt0481816,tt0777914,tt1672864,tt1748188,tt1855979,tt1894492,tt2046141,tt2357418,tt2411102,tt2539624,tt2596676,tt2596924,tt2597306,tt2641800,tt2656184,tt2739254,tt2805650,tt2856666,tt2913090,tt2928708,tt2985646,tt3085300,tt3099178,tt3286516,tt3370034,tt3458420,tt3491940,tt3516598,tt3570436,tt3632320,tt3680870,tt3722210,tt3750290,tt39151094,tt4484064,tt4723322,tt4744984"
decade_1900s,decade,1900s,primary_genre_Drama,primary_genre,Drama,12,"tt0359900,tt1672885,tt1729230,tt1779381,tt1798278,tt1967639,tt1991041,tt2361123,tt3220000,tt3738314,tt3865688,tt4053204"
decade_1900s,decade,1900s,primary_genre_Fantasy,primary_genre,Fantasy,2,"tt0000368,tt0359678"
decade_1900s,decade,1900s,primary_genre_Music,primary_genre,Music,2,"tt2022435,tt2104040"
decade_1900s,decade,1900s,primary_genre_Musical,primary_genre,Musical,3,"tt0351772,tt1779426,tt1779458"
decade_1900s,decade,1900s,primary_genre_News,primary_genre,News,2,"tt0345833,tt0425754"
decade_1900s,decade,1900s,primary_genre_Short,primary_genre,Short,16,"tt0000210,tt0222804,tt0403176,tt0495586,tt0764748,tt1071929,tt1402402,tt1542662,tt1705826,tt1835882,tt1895340,tt1943757,tt2104105,tt4389240,tt4555498,tt4671634"
decade_1900s,decade,1900s,title_type_short,title_type,short,109,"tt0000210,tt0000368,tt0000658,tt0211899,tt0212286,tt0212611,tt0222804,tt0231662,tt0233594,tt0234139,tt0234486,tt0235318,tt0248569,tt0325393,tt0335124,tt0345833,tt0348634,tt0348638,tt0351772,tt0359678,tt0359900,tt0360668,tt0367050,tt0367648,tt0384954,tt0386786,tt0403176,tt0423102,tt0425754,tt0431260,tt0481816,tt0495586,tt0764748,tt0777914,tt1071929,tt1261815,tt1267275,tt1402402,tt1542662,tt1672864,tt1672885,tt1679526,tt1705826,tt1729230,tt1748188,tt1753473,tt1774391,tt1779381,tt1779426,tt1779458,tt1798278,tt1835882,tt1855979,tt1894492,tt1895340,tt1943757,tt1967639,tt1991041,tt2022435,tt2044053,tt2046141,tt2104040,tt2104105,tt2357418,tt2361123,tt2411102,tt2539624,tt2596676,tt2596924,tt2597306,tt2641800,tt2656184,tt2739254,tt2805650,tt2856666,tt2913090,tt2928708,tt2983506,tt2985646,tt3085300,tt3099178,tt3220000,tt3286516,tt3286592,tt3317512,tt3352524,tt3370034,tt3441468,tt3458420,tt3491940,tt3516598,tt3570436,tt3632320,tt3680870,tt3722210,tt3738314,tt3750290,tt3865688,tt39151094,tt4053204,tt4144262,tt4146984,tt4311944,tt4389240,tt4484064,tt4555498,tt4671634,tt4723322,tt4744984"
decade_1910s,decade,1910s,primary_genre_Action,primary_genre,Action,3,"tt0008114,tt11784616,tt3155456"
decade_1910s,decade,1910s,primary_genre_Adventure,primary_genre,Adventure,2,"tt0364614,tt0427186"
decade_1910s,decade,1910s,primary_genre_Animation,primary_genre,Animation,9,"tt0004987,tt0010517,tt0146655,tt0362811,tt0363136,tt0365507,tt0370740,tt0371175,tt1496024"
decade_1910s,decade,1910s,primary_genre_Biography,primary_genre,Biography,1,tt0175342
